"José Carlos Ary dos Santos"; "1937"; "1984"
"Vítor Pavão dos Santos"; "1937"; ""
"Virgilio Santos"; "1937"; ""
"José Sasportes"; "1937"; ""
"José Augusto Seabra"; "1937"; "2004"
"Heraldo Gregório da Silva"; "1937"; ""
"Franquelim Neiva Soares"; "1937"; ""
"Luís Amorim de Sousa"; "1937"; ""
"Vítor Silva Tavares"; "1937"; ""
"Aristides Van-Dúnem"; "1937"; ""
"João Vário"; "1937"; "2007"
"Hélio Osvaldo Alves"; "1938"; ""
"Manuel dos Santos Alves"; "1938"; ""
"Guilherme António"; "1938"; ""
"José Barcos"; "1938"; ""
"Fiama Hasse Pais Brandão"; "1938"; "2007"
"Casimiro de Brito"; "1938"; ""
"Ferreira de Brito"; "1938"; ""
"António Cartaxo"; "1938"; ""
"Armando Silva Carvalho"; "1938"; ""
"Aníbal Pinto de Castro"; "1938"; "2010"
"Carmelinda Maria Mariano Cavaco"; "1938"; ""
"João Gomes de Campos Copeto"; "1938"; ""
"José Horta Correia"; "1938"; ""
"Tomás Maria de Almeida Manuel de Vilhena";;
"João de São José Queirós"; "1711"; "1764"
"António Manuel Policarpo da Silva";;
"Agostinho Barbosa da Silva"; "1764"; "?"
"João Rui Ferreira Guedes de Carvalho";;
"Maurice Reuchlin";;
"Maria José Miranda";;
"Maria João Afonso";;
"American Psychiatric Association";;
"José Nunes de Almeida";;
"Stephen Hawking";;
"Paulo Ivo Teixeira";;
"Armando Malheiro da Silva";;
"Fernanda Ribeiro";;
"Júlio Sousa Ramos";;
"Manuel Luís Real";;
"Paulo Jorge dos Santos Barata";;
"Maria Leonor Borralho Gaspar Pinto";;
"Paula Alexandra Ochôa de Carvalho";;
"Jorge Amado";;
"Rachel Queiroz";;
"João Cabral de Melo Neto";;
"Isabel Hub Faria";;
"Emília Ribeiro Pedro";;
"Inês Duarte";;
"Carlos A. M. Gouveia";;
"João Andrade Peres";;
"Telmo Moia";;
"Dieter Messner";;
"Maria Luísa Seabra Marques Azevedo";;
"Maria José Albarran Alves de Carvalho";;
"Ana Maria Almeida Martins"; "1943"; ""
"Maria Perpétua Gonçalves";;
"António Quintas Mendes";;
"Ana Maria Brito";;
"Telmo dos Santos Verdelho";;
"Wang Zeng Yang";;
"Maria José B. Marques de Almeida";;
"Arnaldo do Espírito Santo";;
"João Beato";;
"Cristina Pimentel";;
"Artur Portela";;
"João Rocha de Almeida";;
"Carlos Tiago Fernandes";;
"Eurico Rodrigues";;
"João Paulo Ferreira";;
"Hermínio Duarte Ramos";;
"Jacob Millman";;
"Arvin Grabel";;
"José Manuel Rebordão";;
"Eugene Hecht";;
"Carlos Fiolhais"; "1956"; ""
"Rui Ferreira Marques";;
"Manuela de Azevedo"; "1911"; ""
"Luís Filipe Aviz de Brito"; "1911"; "1994"
"A. Vicente Campinas"; "1910"; "1998"
"Vitorino Figueiredo de Almeida Campos"; "1911"; "1989"
"Ersílio de Oliveira Cardoso"; "1911"; "1994"
"Aires de Carvalho"; "1911"; ""
"António Augusto Ferreira da Cruz"; "1911"; "1989"
"Manuel Cavaleiro de Ferreira"; "1911"; "1992"
"Manuel da Fonseca"; "1911"; "1993"
"Cón. José António Martins Gigante"; "1911"; "1989"
"Armando Nobre de Gusmão"; "1911"; ""
"Fernando de Araújo Lima"; "1911"; ""
"Luís de Matos"; "1911"; "1995"
"Rodrigo Melo"; "1911"; "1952"
"Albano Nogueira"; "1911"; ""
"Américo Lopes de Oliveira"; "1911"; ""
"Agnelo Paiva"; "1911"; "?"
"Mário Baptista Pereira"; "1911"; ""
"Pe. M. A. Bernardo Pintor"; "1911"; "1996"
"Alves Redol"; "1911"; "1969"
"Afonso Ribeiro"; "1911"; "1993"
"Manuel Rodrigues"; "1911"; "1996"
"João Rúben"; "1911"; "1993"
"Políbio Gomes dos Santos"; "1911"; "1939"
"José Marmelo e Silva"; "1911"; "1991"
"Eudoro de Sousa"; "1911"; "1987"
"Manuel Cid Teles"; "1911"; "2009"
"Cón. António Luís Vaz"; "1911"; ""
"Augusto dos Santos Abranches"; "1912"; "1963"
"António Ramos de Almeida"; "1912"; "1961"
"Vasco Botelho de Amaral"; "1912"; "1980"
"Maria Augusta Alves Barbosa"; "1912"; "2012"
"João Braz"; "1912"; ""
"Guilherme de Castilho"; "1912"; "1987"
"Alice de Azevedo Constant"; "1912"; "1980"
"Leiria Dias"; "1912"; "1984"
"Alberto Figueira Gomes"; "1912"; "1986"
"Manuel Viegas Guerreiro"; "1912"; "1997"
"José Junça"; "1912"; ""
"Alberto Miranda"; "1912"; "1992"
"Manuel do Nascimento"; "1912"; "1966"
"Mário Neves"; "1912"; "1999"
"Flório José de Oliveira"; "1912"; "1993"
"Elza Paxeco"; "1912"; "1989"
"Faure da Rosa"; "1912"; "1985"
"Délio Santos"; "1912"; "1977"
"Vinha dos Santos"; "1912"; "1940"
"Noémia Seixas"; "1912"; "1992"
"Armando Carneiro da Silva"; "1912"; "1992"
"António Rodrigo Pinto da Silva"; "1912"; "1992"
"Artur Augusto da Silva"; "1912"; ""
"Pe. Manuel Teixeira"; "1912"; ""
"Maria Emília Vasconcelos"; "1912"; ""
"Aurélio Fernando Alves"; "1913"; ""
"Caetano Teixeira de Aragão"; "1913"; ""
"Silva Bastos"; "1913"; "1972"
"Edgar Carneiro"; "1913"; "2011"
"Pe. António de Carvalho"; "1913"; "1993"
"Sarah Pinto Coelho"; "1913"; "1990"
"Deolinda da Conceição"; "1914"; "1957"
"Francisco Carreiro da Costa"; "1913"; "1981"
"Joaquim Costa"; "1913"; "1956"
"Edmundo Curvelo"; "1913"; "1955"
"Túlio Espanca"; "1913"; "1993"
"Carlos Augusto Gonçalves Estorninho"; "1913"; ""
"A. Garibaldi"; "1913"; "1992"
"Patrícia Joyce"; "1913"; "1985"
"Ernesto Leal"; "1913"; "2005"
"Merícia de Lemos"; "1913"; "1996"
"Ilse Losa"; "1913"; "2006"
"Alsácia Fontes Machado"; "1913"; "1991"
"Costa Mendes"; "1913"; "1974"
"Raul Rego"; "1913"; "2002"
"Sebastião Martins dos Reis"; "1913"; ""
"Manuel Rocha"; "1913"; "1981"
"João dos Santos"; "1913"; "1987"
"Cón. Luciano Afonso dos Santos"; "1913"; "1992"
"Alfredo Guisado"; "1891"; "1975"
"Luís Reis Santos"; "1898"; "1967"
"José Coelho da Cunha"; "1892"; ""
"Mateus Moreno"; "1892"; "1970"
"Augusto Cunha"; "1894"; "1947"
"Florbela Espanca"; "1894"; "1930"
"António Ferro"; "1895"; "1956"
"Anita Patrício"; "1895"; "1971"
"Aleixo Ribeiro"; "1899"; "1977"
"Manuel Ferreira Rosa"; "1900"; "1982"
"Octávio de Marialva"; "1900"; "1992"
"A. Gonçalves Pereira"; "1901"; "1983"
"Sérgio Frusoni"; "1901"; "1975"
"António de Navarro"; "1902"; "1980"
"Manuel de Paiva Boléo"; "1904"; ""
"Joaquim Azinhal Abelho"; "1911"; "1979"
"Manuel Caeiro de Pavia"; "1931"; ""
"José Pereira"; "1931"; ""
"Luís de Pina"; "1931"; "1991"
"Maria Augusto Ribeiro"; "1931"; ""
"Pe. Agostinho Rodrigues"; "1931"; "1991"
"António Pedro Ribeiro Santos"; "1931"; ""
"António Marques da Silva"; "1931"; ""
"Fernando Correia da Silva"; "1931"; "2014"
"Maria Margarida Macedo Silva"; "1931"; ""
"Manuel Carvalho Simões"; "1931"; ""
"Gisela Sinfrónio"; "1931"; ""
"Tarcísio Trindade"; "1931"; ""
"José Falcato Varela"; "1931"; ""
"Henrique Alves Costa"; "1910"; "1988"
"Amélia Veiga"; "1931"; ""
"José Gonçalves Serpa"; "1905"; "1990"
"Andrade de Gouveia"; "1905"; "2002"
"Viriato de Gouveia"; "1905"; "1965"
"Manuel de Oliveira Guerra"; "1905"; "1964"
"Florival da Silva Guerreiro"; "1905"; "1996"
"João Pinto da Costa Leite [Lumbrales]"; "1905"; "1975"
"Barbosa de Melo"; "1932"; ""
"Fernando Melo"; "1932"; ""
"José de Melo"; "1932"; ""
"Lídia Meunier"; "1932"; ""
"Fernando dos Santos Neves"; "1932"; ""
"Rui Nogar"; "1932"; "1993"
"Maria Helena Pinto Novais Paiva"; "1932"; ""
"Luís Pignatelli"; "1932"; "1993"
"Maria Laura Bettencourt Pires"; "1932"; ""
"José Valentim de Matos Prata"; "1932"; "1997"
"Maria Teresa Ramos"; "1932"; ""
"Margarida Ribeiro"; "1932"; ""
"Romana Rosa"; "1932"; ""
"José Nicolau Rufino"; "1932"; ""
"Manuel de Seabra"; "1932"; ""
"José Jacinto Severino"; "1932"; ""
"José Maria Rodrigues da Silva"; "1932"; ""
"Manuel Augusto Ferreira da Silva"; "1932"; ""
"Maria Leonor Machado de Sousa"; "1932"; ""
"José Manuel Tengarrinha"; "1932"; ""
"Hélio Nunes Xavier"; "1932"; ""
"Adelino Ribeiro de Abreu"; "1933"; ""
