id;nome;data_nascimento;local_nascimento;data_morte;local_morte;biografia;foto
10222;Graça Almeida Rodrigues;1937;Lisboa;;;
10223;Maria Adelaide Neto Salvado;1937;Povos/Vila Franca de Xira;;;
10224;Francisco Sampaio;1937;Barcelos;;;
10225;Eugénio Francisco dos Santos;1937;São Jorge/Santa Maria da Feira;;;
10226;José Carlos Ary dos Santos;1937;Lisboa;1984;Lisboa;;
10227;Vítor Pavão dos Santos;1937;Lisboa;;;
10228;Virgilio Santos;1937;Celorico da Beira;;;
10229;José Sasportes;1937;Lisboa;;;
1023;;
10230;José Augusto Seabra;1937;Vilarouco/São João da Pesqueira;2004;Paris;;
10231;Heraldo Gregório da Silva;1937;Capelo/Faial;;;
10232;Franquelim Neiva Soares;1937;S. Bartolomeu do Mar/Esposende;;;
10233;Luís Amorim de Sousa;1937;Nova Lisboa (hoje Huambo)/Angola;;;
10234;Vítor Silva Tavares;1937;Lisboa;;;
10235;Aristides Van-Dúnem;1937;Luanda;;;
10236;João Vário;1937;Mindelo;2007;Mindelo;;
10237;Hélio Osvaldo Alves;1938;Porto;;;
10238;Manuel dos Santos Alves;1938;Adoufe/Vila Real;;;
10239;Guilherme António;1938;Alcorochel/Torres Novas;;;
1024;;
10240;José Barcos;1938;Lordelo/Vila Real;;;
10241;Fiama Hasse Pais Brandão;1938;Lisboa;2007;Lisboa;;
10242;Casimiro de Brito;1938;Loulé;;;
10243;Ferreira de Brito;1938;Penafiel;;;
10244;António Cartaxo;1938;Amadora;;;
10245;Armando Silva Carvalho;1938;Olho Marinho/Óbidos;;;
10246;Aníbal Pinto de Castro;1938;Cernache;2010;Coimbra;;
10247;Carmelinda Maria Mariano Cavaco;1938;Boliqueime/Loulé;;;
10248;João Gomes de Campos Copeto;1938;Fronteira;;;
10249;José Horta Correia;1938;Vila Real de Santo António;;;
1025;;
10250;Tomás Maria de Almeida Manuel de Vilhena;;;;;;
10251;João de São José Queirós;1711;Matosinhos;1764;São João da Pendorada;;
10252;;
10253;António Manuel Policarpo da Silva;;;;;;
10254;Agostinho Barbosa da Silva;1764;;?;?;;
10255;João Rui Ferreira Guedes de Carvalho;;;;;;
10256;Maurice Reuchlin;;;;;;
10257;Maria José Miranda;;;;;;
10258;Maria João Afonso;;;;;;
10259;American Psychiatric Association;;;;;;
1026;;
10260;José Nunes de Almeida;;;;;;
10261;Stephen Hawking;;;;;;
10262;Paulo Ivo Teixeira;;;;;;
10263;Armando Malheiro da Silva;;;;;;
10264;Fernanda Ribeiro;;;;;;
10265;Júlio Sousa Ramos;;;;;;
10266;Manuel Luís Real;;;;;;
10267;Paulo Jorge dos Santos Barata;;;;;;
10268;Maria Leonor Borralho Gaspar Pinto;;;;;;
10269;Paula Alexandra Ochôa de Carvalho;;;;;;
1027;;
10270;Jorge Amado;;;;;;
10271;Rachel Queiroz;;;;;;
10272;João Cabral de Melo Neto;;;;;;
10273;Isabel Hub Faria;;;;;;
10274;Emília Ribeiro Pedro;;;;;;
10275;Inês Duarte;;;;;;
10276;Carlos A. M. Gouveia;;;;;;
10277;João Andrade Peres;;;;;;
10278;Telmo Moia;;;;;;
10279;Dieter Messner;;;;;;
1028;;
10280;Maria Luísa Seabra Marques Azevedo;;;;;;
10281;Maria José Albarran Alves de Carvalho;;;;;;
10282;Ana Maria Almeida Martins;1943;?;;;
10283;Maria Perpétua Gonçalves;;;;;;
10284;António Quintas Mendes;;;;;;
10285;Ana Maria Brito;;;;;;
10286;Telmo dos Santos Verdelho;;;;;;
10287;Wang Zeng Yang;;;;;;
10288;Maria José B. Marques de Almeida;;;;;;
10289;Arnaldo do Espírito Santo;;;;;;
1029;;
10290;João Beato;;;;;;
10291;Cristina Pimentel;;;;;;
10292;Artur Portela;;;;;;
10293;João Rocha de Almeida;;;;;;
10294;Carlos Tiago Fernandes;;;;;;
10295;Eurico Rodrigues;;;;;;
10296;João Paulo Ferreira;;;;;;
10297;Hermínio Duarte Ramos;;;;;;
10298;Jacob Millman;;;;;;
10299;Arvin Grabel;;;;;;
1030;;
10300;José Manuel Rebordão;;;;;;
10301;Eugene Hecht;;;;;;
10302;Carlos Fiolhais;1956;Lisboa;;;
10303;Rui Ferreira Marques;;;;;;
10304;Manuela de Azevedo;1911;Lisboa;;;
10305;Luís Filipe Aviz de Brito;1911;Barcelos;1994;Guimarães;;
10306;A. Vicente Campinas;1910;Vila Nova de Cacela;1998;Vila Real de Santo António;;
10307;Vitorino Figueiredo de Almeida Campos;1911;Lisboa;1989;Rio de Janeiro/Brasil;;
10308;Ersílio de Oliveira Cardoso;1911;Porto;1994;Lisboa;;
10309;Aires de Carvalho;1911;Porto;;;
1031;;
10310;António Augusto Ferreira da Cruz;1911;Bougado/Santo Tirso;1989;Porto;;
