Abreu, Carmen da Conceição da Silva Matos; 1952-
Abreu, Carvalho; ca 18 - -
Abreu, Casimiro; 1922-
Abreu, Casimiro de; 1839-1860
Abreu, Cesário de; 1849-?
Abreu, C.; fl. ca. 1865
Abreu, Cláudio; 1963-
Abreu, Cristina Fernandes de; 1945-
Abreu, Cristóvão Soares de; ?-1684
Abreu, Dinis de; 1944-
Abreu, Diogo de; 17---18--?
Abreu, Diogo de; 1947-
Abreu, Dionísio; 1962-
Abreu, Domingos de; fl. 164-
Abreu, Domingos Manuel Pereira de Carvalho e; 1797-1873
Abreu, Eduardo de; 1855-1912
Abreu, Edward Luiz Ayres d'; 1989-
Abreu, Estela dos Santos; 1932-
Abreu, Ester d'; fl. 1948
Abreu, Fernando; 1956-
Abreu, Fernando de, 16---1727; O.P.
Abreu, Fernando Soares Teixeira de; 1894-1960
Abreu, Francisco; 1962-
Abreu, Francisco Bonifácio de; 1819-1887
Abreu, Francisco Ferreira de; 17---1842
Abreu, Gaspar de; 1875-?
Abreu, Gil de Azevedo; 1947-
Abreu Gómez, Ermilo; 1894-1971
Abreu, Gonçalo Antão de Macedo Sá e; ca 1860
Abreu, Graça; 1943-
Abreu, Guilherme de Vasconcelos; 1842-1907
Abreu, Helena; 1924-
Abreu, Helena Isabel Soares de; 1976-
Abreu, Humberto de; 1909-
Abreu, Ilda Maria Assunção e Silva Soares de; 1939-
Abreu, Isabel Maria Perestrelo Pinto Ribeiro Paradela de; 1953-
Abreu, Isabel Maria Rocha; 1958-
Abreu, Jaime Esteves de; 1968-
Abreu, Jaime R. de; ca 18- -
Abreu, Jerónimo Vieira de; 17---18--
Abreu, João António Peres; ca 18- -
Abreu, João Carlos; 1935-
Abreu, João Manuel; 1757-1815
Abreu, João Paulo Cancela de; 1920-
Abreu, Joaquim da Anunciação; 17---18--
Abreu, Joaquim da Piedade; 1917-
Abreu, Joaquim Manuel de Faria Lima e; fl. 18--
Abreu, Joaquim Velez de Faria e; ca 1863
Abreu, Jorge de; 1878-1932
Abreu, Jorge de; 1946-
Abreu, Jorge M. Coutinho de; 1955-
Abreu, José António Carvalho Dias de; 1969-
Abreu, José António de; 1796-1873
Abreu, José Correia de; fl. 1728-1734
Abreu, José Eduardo; 1964-2007
Abreu, José Fernando da Silva; 1966-
Abreu, José Ferreira de; ca 1893
Abreu, José Ferreira Mendes de; ca 1860
Abreu, José Gonçalves de; 1914-
Abreu, José Luís Pio; 1944-
Abreu, José Manuel de; fl. 1789
Abreu, José Maria Casimiro de; fl. 1862
Abreu, José Maria de; 1818-1871
Abreu, José Miguel de; 1850-?
Abreu, José Paulo Leite de; 1959-
Abreu, José Pedro Pereira de Azambuja e; 17---18--
Abreu, José Rodrigues de; 1682-1747
Abreu Júnior, Daniel de; 18---19--
Abreu, Laurinda; 1960-
Abreu, Leonídio de; 1905-1965
Abreu, Lisuarte de; fl. 15--
Abreu, Lopo de, 15---16--; S.J.
Abreu, Lopo de Carvalho Cancela de; 1913-1990
Abreu, Lúcio de; fl. 1905
Abreu, Luís; 1973-
Abreu, Luís A. de; ca 1886
Abreu, Luísa Ferreira de; 1964-
Abreu, Luís Daniel Moura de; 1973-
Abreu, Luís Filipe de; 1836-?
Abreu, Luís Filipe de; 1935-
Abreu, Luís Machado de; 1940-
Abreu, Luís Miguel de; 1846-?
Abreu, Luís M. P. M.; 1958-
Abreu, Madalena; 1970-
Abreu, Manuel A.; 1959-
Abreu, Manuela; 1962-
Abreu, Manuela de; 1941-
Abreu, Manuel Botelho de; 1881-1961
Abreu, Manuel Viegas; 1936-
Abreu, Maria de Soto Maior e; 1904-
Abreu, Maria Dulce da Silva Duarte; 1961-
Abreu, Maria Eduarda Ferraz de; 1926-
Abreu, Maria Fernanda de; 1948-
Abreu, Maria Georgina Ribeiro Pinto de; 1949-
Abreu, Maria Helena Matos Ribeiro de; 1974-
Abreu, Maria Manuela Silva Nunes Reis; 1949-
Abreu, Mariana Fraga de; 1990-
Abreu, Maria Zina Gonçalves de; 1947-
Abreu, Mário; 1949-2003
Abreu, Marques; 1879-1958
Abreu, Martinho F. S.; 1942-
Abreu, Martins e; 1861-1944
Abreu, Maurício de Almeida; 1948-
Abreu, M. F.; ca 18 - -
Abreu, Miguel; 1963-
Abreu, Miguel Vicente de; 1827-1883
